TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr15 E1|15 37.69 cM	mouse chr15 E1|15 37.69 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D-E|4 73.67 cM	mouse chr4 D-E|4 73.67 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 C3|4 36.94 cM	mouse chr4 C3|4 36.94 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H1|2 75.95 cM	mouse chr2 H1|2 75.95 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 G2|2	mouse chr2 G2|2	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr15 F1-F3|15 54.65 cM	mouse chr15 F1-F3|15 54.65 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr14 C1|14 23.95 cM	mouse chr14 C1|14 23.95 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 C1|19 27.46 cM	mouse chr19 C1|19 27.46 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr12 C1|12 27.21 cM	mouse chr12 C1|12 27.21 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 G2|5 81.84 cM	mouse chr5 G2|5 81.84 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B4|11 44.29 cM	mouse chr11 B4|11 44.29 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 E2|5 46.51 cM	mouse chr5 E2|5 46.51 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 C3.1|5 33.67 cM	mouse chr5 C3.1|5 33.67 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 B1|4 26.51 cM	mouse chr4 B1|4 26.51 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10 A4|10 17.4 cM	mouse chr10 A4|10 17.4 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr12 D1-D3|12 33.52 cM	mouse chr12 D1-D3|12 33.52 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 A1|7 2.76 cM	mouse chr7 A1|7 2.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10 B4|10 32.37 cM	mouse chr10 B4|10 32.37 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 A3.3|13 13.94 cM	mouse chr13 A3.3|13 13.94 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 B1|16 11.31 cM	mouse chr16 B1|16 11.31 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 A3.3|17 14.85 cM	mouse chr17 A3.3|17 14.85 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B1.3|11 34.51 cM	mouse chr11 B1.3|11 34.51 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D2.2|4 57.93 cM	mouse chr4 D2.2|4 57.93 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX F1|X 57.37 cM	mouse chrX F1|X 57.37 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B2-B5|11 42.96 cM	mouse chr11 B2-B5|11 42.96 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 A3.3|17 11.67 cM	mouse chr17 A3.3|17 11.67 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 C3|19 38.85 cM	mouse chr19 C3|19 38.85 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 A3|16 11.19 cM	mouse chr16 A3|16 11.19 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17|17 A1	mouse chr17|17 A1	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 A|19 10.86 cM	mouse chr19 A|19 10.86 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 B5|16 25.72 cM	mouse chr16 B5|16 25.72 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 E1|7 50.47 cM	mouse chr7 E1|7 50.47 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10 C2-C3|10 50.35 cM	mouse chr10 C2-C3|10 50.35 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 B|19 5.32 cM	mouse chr19 B|19 5.32 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 A3-A4|13 24.96 cM	mouse chr13 A3-A4|13 24.96 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 B1.1|8 24.95 cM	mouse chr8 B1.1|8 24.95 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H3|2 95.54 cM	mouse chr2 H3|2 95.54 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 C3.3|16 48.34 cM	mouse chr16 C3.3|16 48.34 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H1|2 78.05 cM	mouse chr2 H1|2 78.05 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr14|14 A2-B	mouse chr14|14 A2-B	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 F3|7 65.52 cM	mouse chr7 F3|7 65.52 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 E2|11 75.23 cM	mouse chr11 E2|11 75.23 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 A3.1|13 6.05 cM	mouse chr13 A3.1|13 6.05 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 D|3 28.96 cM	mouse chr3 D|3 28.96 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H3|2 84.44 cM	mouse chr2 H3|2 84.44 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr18 E2|18 40.14 cM	mouse chr18 E2|18 40.14 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 E5|2 59.43 cM	mouse chr2 E5|2 59.43 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 F1|9 58.24 cM	mouse chr9 F1|9 58.24 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 B1|6 14.91 cM	mouse chr6 B1|6 14.91 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 B|1 19.19 cM	mouse chr1 B|1 19.19 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 A|19 8.73 cM	mouse chr19 A|19 8.73 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 A2|7 8.76 cM	mouse chr7 A2|7 8.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H2|2 78.4 cM	mouse chr2 H2|2 78.4 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 A3|9 8.38 cM	mouse chr9 A3|9 8.38 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 B2-B3|7	mouse chr7 B2-B3|7	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 D2|19 54.49 cM	mouse chr19 D2|19 54.49 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 B4|7 28.73 cM	mouse chr7 B4|7 28.73 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 E2|17 45.2 cM	mouse chr17 E2|17 45.2 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 A1-A2|4 2.16 cM	mouse chr4 A1-A2|4 2.16 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 G2|5 74.47 cM	mouse chr5 G2|5 74.47 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B3|11 42.98 cM	mouse chr11 B3|11 42.98 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 E4|1 57.95 cM	mouse chr1 E4|1 57.95 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 D2-3|7 47.15 cM	mouse chr7 D2-3|7 47.15 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr15 F1|15 54.64 cM	mouse chr15 F1|15 54.64 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 F1|2 62.1 cM	mouse chr2 F1|2 62.1 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H3|2 87.58 cM	mouse chr2 H3|2 87.58 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 A1|11 3.94 cM	mouse chr11 A1|11 3.94 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 C3-D2|19 38.8 cM	mouse chr19 C3-D2|19 38.8 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 C1|5 29.52 cM	mouse chr5 C1|5 29.52 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 F|1 56.9 cM	mouse chr1 F|1 56.9 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 C5|8 45.96 cM	mouse chr8 C5|8 45.96 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 C3|8 42.16 cM	mouse chr8 C3|8 42.16 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 C2|16 40.19 cM	mouse chr16 C2|16 40.19 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 A5|13 21.98 cM	mouse chr13 A5|13 21.98 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 H1|1 65.26 cM	mouse chr1 H1|1 65.26 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 A1|3 2.02 cM	mouse chr3 A1|3 2.02 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9|9 F3-F4	mouse chr9|9 F3-F4	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr12 A1.1|12 1.88 cM	mouse chr12 A1.1|12 1.88 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 C3|1 33.64 cM	mouse chr1 C3|1 33.64 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 F|5 63.85 cM	mouse chr5 F|5 63.85 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13|13 34.7 cM	mouse chr13|13 34.7 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr15 D3|15 34.27 cM	mouse chr15 D3|15 34.27 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 E3-F1|3 39.01 cM	mouse chr3 E3-F1|3 39.01 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 A1|17 8.69 cM	mouse chr17 A1|17 8.69 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr14 A3|14 16.8 cM	mouse chr14 A3|14 16.8 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX F1|X 57.64 cM	mouse chrX F1|X 57.64 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr14 E2.2|14 50.9 cM	mouse chr14 E2.2|14 50.9 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 D-E|9 43.36 cM	mouse chr9 D-E|9 43.36 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 F3|2 61.76 cM	mouse chr2 F3|2 61.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 E1|11 67.5 cM	mouse chr11 E1|11 67.5 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 E3.2|9	mouse chr9 E3.2|9	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 H2-4|2 103.74 cM	mouse chr2 H2-4|2 103.74 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr15 E1|15 37.22 cM	mouse chr15 E1|15 37.22 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 A5|11 24.41 cM	mouse chr11 A5|11 24.41 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 C3|8 41.31 cM	mouse chr8 C3|8 41.31 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 C3.3|16 53.22 cM	mouse chr16 C3.3|16 53.22 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D2.1|4 54.67 cM	mouse chr4 D2.1|4 54.67 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B5|11 46.79 cM	mouse chr11 B5|11 46.79 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 A3-A5|13 8.12 cM	mouse chr13 A3-A5|13 8.12 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 B|1 21.21 cM	mouse chr1 B|1 21.21 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 B|1 23.55 cM	mouse chr1 B|1 23.55 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX F5|X 75.99 cM	mouse chrX F5|X 75.99 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr15 C|15 20.0 cM	mouse chr15 C|15 20.0 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 B2|13 30.06 cM	mouse chr13 B2|13 30.06 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 F2|7 64.47 cM	mouse chr7 F2|7 64.47 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 E2|5 43.56 cM	mouse chr5 E2|5 43.56 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10 C2|10 49.39 cM	mouse chr10 C2|10 49.39 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 F5|7 88.1 cM	mouse chr7 F5|7 88.1 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX D|X 46.12 cM	mouse chrX D|X 46.12 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 C3.3|5 40.63 cM	mouse chr5 C3.3|5 40.63 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 F1-F3|6 61.57 cM	mouse chr6 F1-F3|6 61.57 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5|5 G2-G3	mouse chr5|5 G2-G3	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D3|4 67.76 cM	mouse chr4 D3|4 67.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 E3|7 55.86 cM	mouse chr7 E3|7 55.86 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr12 D1|12 37.21 cM	mouse chr12 D1|12 37.21 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 E1|11 66.8 cM	mouse chr11 E1|11 66.8 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 B|19 5.1 cM	mouse chr19 B|19 5.1 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 F2.2|3 44.3 cM	mouse chr3 F2.2|3 44.3 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 A1|5 2.26 cM	mouse chr5 A1|5 2.26 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 B1|16 13.37 cM	mouse chr16 B1|16 13.37 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 F|9 74.08 cM	mouse chr9 F|9 74.08 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 F3|9 71.33 cM	mouse chr9 F3|9 71.33 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B3-B4|11 43.21 cM	mouse chr11 B3-B4|11 43.21 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr12 E|12 52.93 cM	mouse chr12 E|12 52.93 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 F4|7 82.95 cM	mouse chr7 F4|7 82.95 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 A1|11 4.16 cM	mouse chr11 A1|11 4.16 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX C1|X 37.52 cM	mouse chrX C1|X 37.52 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 D3|8 54.08 cM	mouse chr8 D3|8 54.08 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 B5|7 29.19 cM	mouse chr7 B5|7 29.19 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 B1-3|19 4.34 cM	mouse chr19 B1-3|19 4.34 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 G3|3 59.21 cM	mouse chr3 G3|3 59.21 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr12|12 C2	mouse chr12|12 C2	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17|17 A3-B	mouse chr17|17 A3-B	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17|17 E1.2-E1.3	mouse chr17|17 E1.2-E1.3	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr18 A2|18 11.39 cM	mouse chr18 A2|18 11.39 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 B3|5 24.98 cM	mouse chr5 B3|5 24.98 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D3|4 67.99 cM	mouse chr4 D3|4 67.99 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 D|1 46.53 cM	mouse chr1 D|1 46.53 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX A1-A4|X 16.37 cM	mouse chrX A1-A4|X 16.37 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 E1|8 57.59 cM	mouse chr8 E1|8 57.59 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 E2|11 79.05 cM	mouse chr11 E2|11 79.05 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 c1|1 28.97 cM	mouse chr1 c1|1 28.97 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 B4|7 28.61 cM	mouse chr7 B4|7 28.61 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 F5|7 86.48 cM	mouse chr7 F5|7 86.48 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9|9 F1-F2	mouse chr9|9 F1-F2	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 C2|8 34.15 cM	mouse chr8 C2|8 34.15 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 A1|11 2.76 cM	mouse chr11 A1|11 2.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 C3-D|5	mouse chr5 C3-D|5	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 G2|5 82.82 cM	mouse chr5 G2|5 82.82 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 A2-C|17 13.28 cM	mouse chr17 A2-C|17 13.28 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 E1|3 31.92 cM	mouse chr3 E1|3 31.92 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 F3|6 58.33 cM	mouse chr6 F3|6 58.33 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 G2|5 76.4 cM	mouse chr5 G2|5 76.4 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr8 D3|8 53.59 cM	mouse chr8 D3|8 53.59 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 C|11 51.29 cM	mouse chr11 C|11 51.29 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 E1|6 49.19 cM	mouse chr6 E1|6 49.19 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 E5|2 60.38 cM	mouse chr2 E5|2 60.38 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D3|4 66.76 cM	mouse chr4 D3|4 66.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr3 G3|3 61.05 cM	mouse chr3 G3|3 61.05 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 F5|7 87.95 cM	mouse chr7 F5|7 87.95 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 B1|5 14.81 cM	mouse chr5 B1|5 14.81 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 C3|2 44.75 cM	mouse chr2 C3|2 44.75 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B1.3|11 31.14 cM	mouse chr11 B1.3|11 31.14 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10 B1|10 18.85 cM	mouse chr10 B1|10 18.85 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 A4-C1|1 15.41 cM	mouse chr1 A4-C1|1 15.41 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10|10 D3	mouse chr10|10 D3	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 B3|6 29.15 cM	mouse chr6 B3|6 29.15 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16 B1|16 13.66 cM	mouse chr16 B1|16 13.66 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX A7.3|X 37.41 cM	mouse chrX A7.3|X 37.41 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 D1|4 53.42 cM	mouse chr4 D1|4 53.42 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 D2-D3|19 54.18 cM	mouse chr19 D2-D3|19 54.18 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 B1.1|11 26.45 cM	mouse chr11 B1.1|11 26.45 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr19 A|19 6.1 cM	mouse chr19 A|19 6.1 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 A3|6 8.1 cM	mouse chr6 A3|6 8.1 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 D1|13 51.96 cM	mouse chr13 D1|13 51.96 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 C3|2 47.38 cM	mouse chr2 C3|2 47.38 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr1 H5|1 84.44 cM	mouse chr1 H5|1 84.44 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 A3-B|17 8.72 cM	mouse chr17 A3-B|17 8.72 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 G3|2 73.38 cM	mouse chr2 G3|2 73.38 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr18 C-D|18	mouse chr18 C-D|18	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr18 B3|18 20.08 cM	mouse chr18 B3|18 20.08 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr7 A1|7 2.61 cM	mouse chr7 A1|7 2.61 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 F3|6 61.35 cM	mouse chr6 F3|6 61.35 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr14 C1|14 25.36 cM	mouse chr14 C1|14 25.36 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11|11 B3-B5	mouse chr11|11 B3-B5	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 D|9 38.76 cM	mouse chr9 D|9 38.76 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr6 B1|6 12.53 cM	mouse chr6 B1|6 12.53 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr10 D2|10 66.75 cM	mouse chr10 D2|10 66.75 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 A5.1|9 24.21 cM	mouse chr9 A5.1|9 24.21 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr17 B3|17 21.33 cM	mouse chr17 B3|17 21.33 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr4 A5|4 14.68 cM	mouse chr4 A5|4 14.68 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 E2|2 54.46 cM	mouse chr2 E2|2 54.46 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr13 D1|13 53.05 cM	mouse chr13 D1|13 53.05 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 D|11 64.67 cM	mouse chr11 D|11 64.67 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 C|11 49.9 cM	mouse chr11 C|11 49.9 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr16|16 C4	mouse chr16|16 C4	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr9 F3|9 61.81 cM	mouse chr9 F3|9 61.81 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr2 F3|2 63.19 cM	mouse chr2 F3|2 63.19 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr11 D|11 63.63 cM	mouse chr11 D|11 63.63 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr15 B3.3|15 13.98 cM	mouse chr15 B3.3|15 13.98 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chrX C3-D|X 43.89 cM	mouse chrX C3-D|X 43.89 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
mouse chr5 G2|5 74.68 cM	mouse chr5 G2|5 74.68 cM	0.99999999998829	-1.17100842911277e-11	1	0	0	159	17270
